time,modified
32.012001,-2010.197754
32.034,-1990.298462
32.053001,-1985.670776
32.071999,-1983.953247
32.091,-1977.636719
32.115002,-1964.555054
32.140999,-2002.550049
32.162998,-2011.800781
32.183998,-1991.023682
32.206001,-1993.786011
32.228001,-2014.572632
32.25,-2012.812134
32.275002,-2005.216919
32.328999,-2004.563354
32.349998,-1991.467407
32.366001,-1996.586426
32.384998,-1994.296509
32.403999,-1996.39563
32.425999,-2003.718872
32.451,-1987.183105
32.473,-1994.563599
32.498001,-2003.637817
32.52,-1992.946289
32.542,-1990.308105
32.563999,-1986.047729
32.589001,-1963.605591
32.613998,-1938.024292
32.639,-1894.848145
32.664001,-1830.298462
32.686001,-1741.498657
32.708,-1600.343506
32.73,-1384.037964
32.755001,-1060.707886
32.773998,-836.163086
32.799,-624.623535
32.823002,-467.700745
32.848999,-340.099609
32.874001,-213.395355
32.898998,-92.502014
32.924,-13.449027
32.949001,27.172705
32.967999,-0.939857
32.990002,0.172616
33.011002,-0.491398
33.036999,-0.004771
33.058998,-1.746131
33.087002,-3.888243
33.108002,-0.89692
33.137001,-3.115365
33.161999,-3.878701
33.187,-1.283359
33.209,-0.372126
33.234001,0.287694
33.256001,-0.10973
33.273998,0.206181
33.299999,-3.124907
33.318001,-4.231744
33.34,-1.784298
33.362,-1.607777
33.390999,0.441131
33.412998,4.138
33.438,2.133731
33.466,-2.185049
33.487999,-0.758565
33.513,-0.815815
33.537998,1.491214
33.563,-2.437904
33.588001,-0.586815
33.610001,0.230155
33.632,0.004795
33.657001,-2.52378
33.679001,2.483759
33.703999,1.380931
33.726002,-0.663148
33.750999,1.20352
33.772999,-1.746131
33.798,-2.290008
33.82,1.443265
33.838001,0.004795
33.863998,0.014385
33.886002,-1.183171
33.907001,-1.025733
33.929001,0.115078
33.955002,-1.936965
33.976002,1.021314
33.998001,-1.812923
34.02,-1.617318
34.039001,-0.415064
34.061001,-1.116379
34.089001,-0.462772
34.111,-3.559054
34.136002,-0.963712
34.160999,-1.727048
34.186001,-1.269046
34.208,-3.096282
34.23,1.764524
34.251999,0.330848
34.273998,-3.387304
34.292999,-1.898798
34.320999,-2.13257
34.342999,1.045288
34.370998,-1.483734
34.393002,1.611087
34.421001,0.618542
34.443001,-1.173629
34.471001,1.337777
34.495998,0.637722
34.518002,-4.179265
34.540001,-1.846319
34.562,1.620677
34.587002,1.006929
34.609001,0.676081
34.633999,0.071924
34.655998,-1.774756
34.681,0.01918
34.713001,1.237085
34.737999,-1.746131
34.765999,-0.84444
34.787998,0.49867
34.813,0.834313
34.838001,-2.824343
34.862999,0.076718
34.888,0.460311
34.912998,1.812473
34.938,-0.33396
34.959999,0.580183
